w_idx,cbow_cos_ref,cbow_cos_syn1,cbow_cos_syn0,cbow_dist_syn0,sk_no,sk_word,sk_cos_ref,sk_cos_syn1,sk_cos_syn0,sk_dist_syn0,target
44014,3.8078250885009766,0.0634519790952599,-0.646332746241448,0.5813635906957136,0,金花,4.928394317626953,-0.6016332869544252,-0.167180524305836,0.34755211663027363,0
48823,6.93499755859375,-0.25423128407047074,-0.05681793846691298,0.25223118557359103,0,蝶舞,9.587960243225098,0.49378741626685757,-0.5058213515082983,-0.33313781906271284,0
3973,3.4179224967956543,1.4430502495516644,1.5730874759930265,-1.3858251397118053,0,洗面乳,2.5902113914489746,1.3885995572399745,1.3106474295687702,-1.480482181323981,1
364,1.8330785036087036,0.10354083214492665,0.16753740742636689,-0.5972133072868632,0,蛋糕,0.8217921853065491,-0.07211737683984541,0.628569122471728,0.23217382636336198,0
60741,5.552044868469238,-1.3558117767213818,-1.0374741987110323,1.1494436707293532,0,石屋,4.782388687133789,-1.2086363097125628,-1.2662146762263662,1.2338940573930723,0
6547,4.527736663818359,1.4157758548940302,1.4535467238631588,-1.46862775913099,1,三芝,6.014823913574219,1.3340552000332384,1.1905914308388827,-1.1394907449374574,1
41290,3.685645818710327,0.14537442683896554,0.20363448839675427,-0.2000574485612574,1,马力,5.92122220993042,-0.5238241494844097,-1.0929145107098515,0.8483636035275423,0
56717,2.14048433303833,0.2226647097682884,0.19512691615796587,-0.12186581855366914,1,土星,7.62172794342041,0.6198761872163643,0.7848855818615545,-0.9458817455026289,0
45269,3.987067937850952,-0.4833322457710561,-0.7115175086420001,0.5909551590073064,1,帽帽,3.593135356903076,-0.19589317140555315,-0.003944849858381579,0.21722382544296315,0
52042,4.3297810554504395,-1.3004827457302277,-1.140790619775879,1.199595867238605,1,黄博,2.6037983894348145,-1.2342140663596366,-0.8786176521322066,1.0197850614695567,0
6547,4.527736663818359,1.3804383352109704,1.492696768188836,-1.4944667294589917,1,三芝,6.014823913574219,1.5306042249819383,1.4467459314455362,-1.3871787566120124,1
41290,3.685645818710327,0.25203651721559905,0.15466984776029016,-0.16085569749395023,1,马力,5.92122220993042,-0.4379789692851038,-0.8589291552074604,0.7123198379391018,0
56717,2.14048433303833,0.19340215886758333,0.15858949210349935,-0.10706507169516483,1,土星,7.62172794342041,0.29711219780667436,0.37002393173368653,-0.5808231670600236,0
45269,3.987067937850952,-0.5088656338597475,-0.6884503899355535,0.5843546836241106,1,帽帽,3.593135356903076,-0.2412916241491916,0.056579316976112626,0.15740972796825123,0
52042,4.3297810554504395,-1.3170113774344059,-1.1175057181170718,1.1780328150239938,1,黄博,2.6037983894348145,-1.1484458293543196,-1.014420024947875,1.0982723577647253,0
18302,3.1301345825195312,-0.3814252423788883,-0.8397272679486621,0.5968124107821697,2,视角,2.0652341842651367,-0.5251550129504603,0.017404824647483278,0.09595919510006157,0
1229,2.0031654834747314,1.4775104448278564,1.6304420764358496,-1.4715523770049357,2,精华液,1.6382032632827759,1.7839279402752901,1.1572020473634133,-1.3429844453918955,1
41355,7.3335065841674805,-0.948119093082058,-0.4989498047881956,0.8631330347117856,2,八甲,9.269691467285156,-0.44384050589759216,-1.2290187201983203,1.2264980705527548,0
16327,3.3025195598602295,0.5431072427906918,0.26945015666721356,-0.5997056390592802,2,调性,1.4497859477996826,-0.3275866267884995,0.7850361011279253,-0.573977975190463,0
23057,5.284970760345459,-0.691073352157602,-0.5612151603662053,0.611312570570263,2,香火,5.910057067871094,-0.48734579463873917,-0.7306242529405,0.5945051549295405,0
